tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on wlan1, link-type IEEE802_11_RADIO (802.11 plus radiotap header), snapshot length 262144 bytes
23:22:02.339263 396003680us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Probe Response (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 1, PRIVACY
23:22:02.339573 396003994us tsft 1.0 Mb/s 2412 MHz 11b -65dBm signal [bit 22] Acknowledgment RA:ec:17:2f:e7:86:70 (oui Unknown) 
23:22:02.342982 396007396us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Probe Response (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 1, PRIVACY
23:22:02.345661 396010044us tsft 1.0 Mb/s 2412 MHz 11b -65dBm signal [bit 22] Acknowledgment RA:ec:17:2f:e7:86:70 (oui Unknown) 
23:22:02.363095 396027429us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.379930 396044329us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.400906 396065316us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.411867 396076265us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Probe Response (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
23:22:02.418251 396082669us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Probe Response (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] CH: 1, PRIVACY
23:22:02.503303 396167722us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.567973 396232384us tsft 1.0 Mb/s 2412 MHz 11b -49dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.584784 396249130us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.605715 396270121us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.670320 396334640us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.772683 396437023us tsft 1.0 Mb/s 2412 MHz 11b -49dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.789520 396453931us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.875115 396539415us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.891955 396556331us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.912925 396577329us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.977419 396641825us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:02.994320 396658732us tsft 1.0 Mb/s 2412 MHz 11b -65dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.079839 396744226us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.096742 396761132us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.182257 396846644us tsft 1.0 Mb/s 2412 MHz 11b -52dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.220132 396884533us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.284610 396949018us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.301520 396965933us tsft 1.0 Mb/s 2412 MHz 11b -65dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.322526 396986935us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.387095 397051419us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.403926 397068333us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.424868 397089274us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.489419 397153829us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.498718 397163121us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Probe Response (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] CH: 1, PRIVACY
23:22:03.506322 397170733us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.527261 397191671us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.591852 397256239us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.608728 397273134us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.629663 397294070us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.694221 397358631us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.711155 397375556us tsft 1.0 Mb/s 2412 MHz 11b -69dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.732068 397396474us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.796635 397461041us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.813520 397477934us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.834468 397498876us tsft 1.0 Mb/s 2412 MHz 11b -66dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.899104 397563423us tsft 1.0 Mb/s 2412 MHz 11b -51dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.916472 397580879us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:03.936872 397601279us tsft 1.0 Mb/s 2412 MHz 11b -67dBm signal [bit 22] Beacon (Krystal_WiFi) [1.0* 2.0* 5.5* 11.0* 9.0 18.0 36.0 54.0 Mbit] ESS CH: 1, PRIVACY
23:22:04.001456 397665851us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:04.018345 397682735us tsft 1.0 Mb/s 2412 MHz 11b -68dBm signal [bit 22] Beacon (AK110) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
23:22:04.103857 397768234us tsft 1.0 Mb/s 2412 MHz 11b -50dBm signal [bit 22] Beacon (TOTOLINK_A720R) [1.0* 2.0* 5.5* 11.0* 6.0 9.0 12.0 18.0 Mbit] ESS CH: 1, PRIVACY
